MM - Texas	Abilene Times	2241	128250	2019-11-11	15
MM - New Mexico	ABQ Times	2636	128491	2019-11-21	25
MM - Idaho	Ada Reporter	2675	128463	2019-11-27	40
MM - Colorado	Adams County Times	2460	128442	2019-11-27	50
MM - South Carolina	Aiken Times	2787	128211	2019-11-21	25
MM - Ohio	Akron Reporter	2187	127748	2019-11-11	15
Metro Business Network	Alabama Business Daily	1633	127994	2019-11-27	85
Metro Business Network	Alaska Business Daily	1634	128351	2019-11-27	65
MM - Georgia	Albany Standard	2307	128064	2019-11-27	60
MM - West Virginia	Allegheny Highlands Today	2641	128334	2019-11-01	5
MM - Pennsylvania	Altoona Times	2040	127917	2019-11-11	15
MM - Texas	Amarillo Gazette	2243	128251	2019-11-11	15
MM - Iowa	Ames Today	2044	127610	2019-11-27	50
MM - Indiana	Anderson Reporter	2471	127585	2019-11-27	55
MM - Michigan	Ann Arbor Times	1889	127649	2019-11-27	40
MM - Maryland	Anne Arundel Today	1684	128128	2019-11-27	45
MM - Minnesota	Anoka Times	2080	127687	2019-11-27	35
MM - California	Antelope Valley Today	2693	128368	2019-11-27	55
Metro Business Network	Arizona Business Daily	1147	128367	2019-11-27	60
Metro Business Network	Arkansas Business Daily	1673	128008	2019-11-27	80
MM - Maine	Aroostook News	2386	127840	2019-11-27	40
MM - North Carolina	Asheville Reporter	2140	128148	2019-11-27	35
MM - Georgia	Athens Reporter	2335	128065	2019-11-27	60
MM - Georgia	ATL Standard	2318	128066	2019-11-27	60
MM - New Jersey	Atlantic County Times	2514	127872	2019-11-21	25
MM - Alabama	Auburn Times	2541	127976	2019-11-27	85
MM - Texas	Austin News	2249	128252	2019-11-11	15
MM - Alabama	Baldwin Times	2542	127977	2019-11-27	85
MM - Maryland	Baltimore City Wire	1685	128129	2019-11-27	45
MM - Louisiana	Baton Rouge Reporter	2588	128112	2019-11-27	50
MM - Michigan	Battle Creek Times	1890	127650	2019-11-27	40
MM - Massachusetts	Bean Town Times	2769	127850	2019-11-27	35
MM - Pennsylvania	Beaver County News	2111	127918	2019-11-11	15
MM - Arkansas	Benton Times	2604	127995	2019-11-27	80
MM - South Carolina	Berkeley Leader	2788	128212	2019-11-21	25
MM - Pennsylvania	Berks County News	2030	127919	2019-11-11	15
MM - Hawaii	Big Island Times	2584	128458	2019-11-27	45
MM - Indiana	Bloomington Leader	2472	127586	2019-11-27	55
MM - West Virginia	Bluestone News	2642	128335	2019-11-01	5
MM - Idaho	Boise City Wire	2676	128464	2019-11-27	40
MM - Colorado	Boulder Leader	2462	128443	2019-11-27	50
MM - Kentucky	Bowling Green Today	2430	128093	2019-11-27	55
MM - Missouri	Branson Times	2130	127706	2019-11-26	30
MM - Florida	Brevard Sun	1961	128015	2019-11-27	65
MM - Connecticut	Bridgeport Times	2576	127829	2019-11-27	45
MM - Massachusetts	Bristol Reporter	2766	127851	2019-11-27	35
MM - New York	Buffalo Ledger	2802	127894	2019-11-16	20
MM - North Carolina	Burlington Reporter	2146	128149	2019-11-27	35
MM - New Jersey	Burlington Review	2510	127873	2019-11-21	25
MM - Vermont	Burlington Standard	2336	127970	2019-11-01	5
MM - Pennsylvania	Butler County News	2108	127920	2019-11-11	15
MM - Ohio	Butler County Today	2216	127749	2019-11-11	15
MM - North Carolina	Cabarrus Today	2141	128150	2019-11-27	35
Metro Business Network	California Business Daily	1635	128441	2019-11-27	55
MM - Pennsylvania	Cambria Times	2106	127921	2019-11-11	15
MM - Ohio	Canton Reporter	2192	127750	2019-11-11	15
MM - Massachusetts	Cape Cod Ledger	2768	127852	2019-11-27	35
MM - Missouri	Cape News	2129	127707	2019-11-26	30
MM - New York	Capital District Times	2803	127895	2019-11-16	20
MM - Michigan	Capitol News	1904	127651	2019-11-27	40
MM - Idaho	CDA Reporter	2678	128465	2019-11-27	40
MM - Iowa	Cedar Rapids	2046	127611	2019-11-27	50
MM - California	Central Alameda News	2756	128369	2019-11-27	55
MM - Florida	Central Broward News	2032	128016	2019-11-27	65
MM - Pennsylvania	Central Bucks Today	2002	127922	2019-11-11	15
MM - Pennsylvania	Central Chester Today	1998	127923	2019-11-11	15
MM - Colorado	Central Colorado News	2466	128444	2019-11-27	50
MM - Georgia	Central Georgia News	2314	128067	2019-11-27	60
MM - Idaho	Central Idaho Times	2677	128466	2019-11-27	40
MM - Iowa	Central Iowa Times	2060	127612	2019-11-27	50
MM - Louisiana	Central Louisiana News	2589	128113	2019-11-27	50
MM - Missouri	Central Missouri News	2128	127708	2019-11-26	30
MM - Montana	Central Montana Times	2114	128473	2019-11-27	35
MM - North Dakota	Central ND News	2437	127742	2019-11-16	20
MM - Virginia	Central Nova News	2352	128307	2019-11-06	10
MM - California	Central OC Times	2706	128370	2019-11-27	55
MM - Ohio	Central Ohio Today	2231	127751	2019-11-11	15
MM - Oregon	Central Oregon Times	2666	128501	2019-11-16	20
MM - Pennsylvania	Central PA News	2104	127924	2019-11-11	15
MM - Virginia	Central Shenandoah News	2353	128308	2019-11-06	10
MM - South Dakota	Central South Dakota News	2449	127799	2019-11-06	10
MM - Missouri	Central STL News	2137	127709	2019-11-26	30
MM - Texas	Central Texas News	2245	128253	2019-11-11	15
MM - Utah	Central Utah News	2652	128513	2019-11-11	15
MM - Virginia	Central Virginia Times	2356	128309	2019-11-06	10
MM - Wisconsin	Central Wisconsin News	1877	127805	2019-11-01	5
MM - Wyoming	Central Wyoming News	2389	128546	2019-11-01	5
MM - Texas	Centroplex News	2247	128254	2019-11-11	15
MM - North Carolina	Chapel Hill Review	2167	128151	2019-11-27	35
MM - West Virginia	Charleston Leader	2643	128336	2019-11-01	5
MM - South Carolina	Charleston Reporter	2825	128213	2019-11-21	25
MM - California	Chico Times	2743	128371	2019-11-27	55
MM - Wisconsin	Chippewa Valley Times	1885	127806	2019-11-01	5
MM - Ohio	Cincy Reporter	2217	127752	2019-11-11	15
MM - Tennessee	Clarksville Times	2535	128227	2019-11-16	20
MM - Missouri	Clay Co Times	2117	127710	2019-11-26	30
MM - Florida	Clay County Times	1969	128017	2019-11-27	65
MM - Ohio	Clermont Times	2220	127753	2019-11-11	15
MM - Ohio	Cleveland Reporter	2208	127754	2019-11-11	15
MM - California	Coachella Today	2719	128372	2019-11-27	55
MM - Pennsylvania	Coal Region News	2102	127925	2019-11-11	15
MM - Georgia	Coastal GA News	2315	128068	2019-11-27	60
MM - Georgia	Cobb Reporter	2316	128069	2019-11-27	60
MM - Arizona	Coconino News	1946	128352	2019-11-27	60
MM - Texas	Collin Times	2258	128255	2019-11-11	15
Metro Business Network	Colorado Business Daily	1636	128457	2019-11-27	50
MM - Missouri	Columbia News	2127	127711	2019-11-26	30
MM - South Carolina	Columbia Standard	2789	128214	2019-11-21	25
MM - Indiana	Columbus Standard	2474	127587	2019-11-27	55
MM - Texas	Concho Valley News	2261	128256	2019-11-11	15
MM - New Hampshire	Concord Ledger	2346	127863	2019-11-26	30
Metro Business Network	Connecticut Business Daily	1637	127839	2019-11-27	45
MM - Texas	Corpus Christi Sun	2271	128257	2019-11-11	15
MM - Pennsylvania	Crawford Times	2099	127926	2019-11-11	15
MM - Pennsylvania	Cumberland Valley News	2098	127927	2019-11-11	15
MM - Minnesota	Dakota Times	2076	127688	2019-11-27	35
MM - Texas	Dallas Republic	2251	128258	2019-11-11	15
MM - New Hampshire	Dartmouth Times	2350	127864	2019-11-26	30
MM - Pennsylvania	Dauphin News	2096	127928	2019-11-11	15
MM - Utah	Davis Times	2653	128514	2019-11-11	15
MM - Ohio	Dayton Reporter	2232	127755	2019-11-11	15
MM - Alabama	Decatur Times	2546	127978	2019-11-27	85
MM - Georgia	DeKalb GA News	2317	128070	2019-11-27	60
Metro Business Network	Delaware Business Daily	1638	128013	2019-11-27	75
MM - Ohio	Delaware County Review	2230	127756	2019-11-11	15
MM - Colorado	Denver City Wire	2455	128445	2019-11-27	50
MM - Iowa	Des Moines Sun	2052	127613	2019-11-27	50
MM - Michigan	Detroit City Wire	1891	127652	2019-11-27	40
MM - South Carolina	Dorchester Today	2790	128215	2019-11-21	25
MM - Maine	Down East Times	2385	127841	2019-11-27	40
MM - Michigan	Downriver Today	1892	127653	2019-11-27	40
MM - Iowa	Dubuque Times	2057	127614	2019-11-27	50
MM - North Carolina	Durham Reporter	2142	128152	2019-11-27	35
MM - Florida	Duval Times	1973	128018	2019-11-27	65
MM - Nevada	Eagle Valley Times	2299	128481	2019-11-26	30
MM - California	East Alameda News	2755	128373	2019-11-27	55
MM - Colorado	East Arapahoe News	2457	128446	2019-11-27	50
MM - Arizona	East Arizona News	1953	128353	2019-11-27	60
MM - Georgia	East Central Georgia News	2313	128071	2019-11-27	60
MM - Iowa	East Central Iowa News	2055	127615	2019-11-27	50
MM - Texas	East Central Texas News	2280	128259	2019-11-11	15
MM - Ohio	East Cleveland News	2209	127757	2019-11-11	15
MM - California	East Contra Costa News	2754	128374	2019-11-27	55
MM - Texas	East DFW News	2273	128260	2019-11-11	15
MM - Florida	East Hillsborough News	1975	128019	2019-11-27	65
MM - Texas	East Houston News	2293	128261	2019-11-11	15
MM - New York	East Hudson Valley News	2805	127896	2019-11-16	20
MM - Idaho	East Idaho Times	2679	128467	2019-11-27	40
MM - Indiana	East Indy News	2491	127588	2019-11-27	55
MM - Kentucky	East Kentucky Times	2427	128094	2019-11-27	55
MM - Washington	East King News	1929	128524	2019-11-06	10
MM - North Carolina	East Lake Norman News	2157	128153	2019-11-27	35
MM - Arkansas	East Little Rock Times	2564	127996	2019-11-27	80
MM - Kentucky	East Louisville News	2431	128095	2019-11-27	55
MM - Michigan	East Michigan News	1896	127654	2019-11-27	40
MM - Pennsylvania	East Montgomery Times	2013	127929	2019-11-11	15
MM - New Mexico	East New Mexico News	2631	128492	2019-11-21	25
MM - Oklahoma	East OKC News	2776	128196	2019-11-26	30
MM - Oregon	East Oregon News	2667	128502	2019-11-16	20
MM - Florida	East Panhandle News	1999	128020	2019-11-27	65
MM - West Virginia	East Panhandle Times	2644	128337	2019-11-01	5
MM - Oregon	East PDX Today	2664	128503	2019-11-16	20
MM - Kentucky	East Pennyroyal News	2423	128096	2019-11-27	55
MM - Texas	East RGV News	2282	128262	2019-11-11	15
MM - California	East San Diego News	2710	128375	2019-11-27	55
MM - California	East SBV Times	2715	128376	2019-11-27	55
MM - California	East SFV Today	2690	128377	2019-11-27	55
MM - California	East Sierra News	2725	128378	2019-11-27	55
MM - Utah	East SLC News	2660	128515	2019-11-11	15
MM - Ohio	East Stark News	2191	127758	2019-11-11	15
MM - Minnesota	East Twin Cities	2086	127689	2019-11-27	35
MM - California	East Ventura News	2685	128379	2019-11-27	55
MM - Florida	East Volusia News	1977	128021	2019-11-27	65
MM - North Carolina	East Wake Times	2144	128154	2019-11-27	35
MM - Kansas	East Wichita Times	2408	127631	2019-11-27	45
MM - Virginia	Eastern Shore Times	2374	128310	2019-11-06	10
MM - Michigan	Eastern Wayne Today	1895	127655	2019-11-27	40
MM - Alabama	EC Alabama News	2547	127979	2019-11-27	85
MM - Indiana	EC Indiana News	2475	127589	2019-11-27	55
MM - Kansas	EC Kansas News	2418	127632	2019-11-27	45
MM - Mississippi	EC Mississippi News	2608	128135	2019-11-27	40
MM - Nebraska	EC Nebraska News	2622	127732	2019-11-21	25
MM - North Carolina	EC North Carolina News	2143	128155	2019-11-27	35
MM - Ohio	EC Ohio News	2195	127759	2019-11-11	15
MM - Oklahoma	EC Oklahoma News	2785	128197	2019-11-26	30
MM - Virginia	EC Virginia News	2358	128311	2019-11-06	10
MM - Wisconsin	EC Wisconsin News	1879	127807	2019-11-01	5
MM - Texas	El Paso Standard	2285	128263	2019-11-11	15
MM - Kentucky	Elizabethtown Times	2428	128097	2019-11-27	55
MM - Indiana	Elkhart Times	2476	127590	2019-11-27	55
MM - Florida	Emerald Coast Times	1979	128022	2019-11-27	65
MM - Pennsylvania	Erie County Times	2095	127930	2019-11-11	15
MM - Ohio	Fairfield Reporter	2227	127760	2019-11-11	15
MM - Texas	Far West Texas News	2289	128264	2019-11-11	15
MM - North Dakota	Fargo Standard	2438	127743	2019-11-16	20
MM - Arkansas	Fayetteville Standard	2560	127997	2019-11-27	80
MM - North Carolina	Fayetteville Today	2147	128156	2019-11-27	35
MM - Ohio	Findlay Times	2202	127761	2019-11-11	15
MM - New York	Finger Lakes Today	2804	127897	2019-11-16	20
Metro Business Network	Florida Business Daily	1149	128063	2019-11-27	65
MM - Louisiana	Florida Parish News	2590	128114	2019-11-27	50
MM - Wisconsin	Fon du Lac News	1880	127808	2019-11-01	5
MM - North Carolina	Foothills Review	2145	128157	2019-11-27	35
MM - Texas	Forest Country News	2263	128265	2019-11-11	15
MM - Arkansas	Fort Smith Times	2603	127998	2019-11-27	80
MM - Wisconsin	Fox Cities News	1881	127809	2019-11-01	5
MM - Virginia	Fredericksburg Leader	2360	128312	2019-11-06	10
MM - California	Fresno Leader	2726	128380	2019-11-27	55
MM - Indiana	Ft Wayne Times	2479	127591	2019-11-27	55
MM - Texas	Ft Worth Times	2253	128266	2019-11-11	15
MM - Alabama	Gadsden Today	2548	127980	2019-11-27	85
MM - North Carolina	Gastonia Times	2151	128158	2019-11-27	35
MM - Virginia	Gateway Reporter	2359	128313	2019-11-06	10
MM - Michigan	Genesee News	1897	127656	2019-11-27	40
Metro Business Network	Georgia Business Daily	1639	128092	2019-11-27	60
MM - Georgia	Georgia Mountain News	2321	128072	2019-11-27	60
MM - Montana	Glacier Country News	2239	128474	2019-11-27	35
MM - New Jersey	Gloucester Today	2513	127874	2019-11-21	25
MM - California	Gold Country Today	2745	128381	2019-11-27	55
MM - Colorado	Grand Junction Times	2467	128447	2019-11-27	50
MM - Michigan	Grand Rapids Reporter	1901	127657	2019-11-27	40
MM - Texas	Grayson Times	2291	128267	2019-11-11	15
MM - Wisconsin	Green Bay Reporter	1873	127810	2019-11-01	5
MM - Ohio	Greene County Times	2235	127762	2019-11-11	15
MM - North Carolina	Greensboro Reporter	2152	128159	2019-11-27	35
MM - South Carolina	Greenville Leader	2791	128216	2019-11-21	25
MM - North Carolina	Greenville Reporter	2153	128160	2019-11-27	35
MM - Mississippi	GTR Times	2610	128136	2019-11-27	40
MM - Tennessee	Hamilton Reporter	2522	128228	2019-11-16	20
MM - Pennsylvania	Happy Valley Times	2092	127931	2019-11-11	15
MM - Maryland	Harford News	1686	128130	2019-11-27	45
MM - Connecticut	Hartford Reporter	2580	127830	2019-11-27	45
Metro Business Network	Hawaii Business Daily	1640	128462	2019-11-27	45
MM - Virginia	Henrico Times	2362	128314	2019-11-06	10
MM - Florida	Hernando Reporter	1980	128023	2019-11-27	65
MM - North Carolina	Hickory Sun	2148	128161	2019-11-27	35
MM - North Carolina	High Country Times	2154	128162	2019-11-27	35
MM - Texas	Hill Country Chronicle	2250	128268	2019-11-11	15
MM - New Hampshire	Hillsborough Sun	2345	127865	2019-11-26	30
MM - South Carolina	Hilton Head Reporter	2793	128217	2019-11-21	25
MM - Mississippi	Hinds Today	2611	128137	2019-11-27	40
MM - Michigan	Holland Reporter	1898	127658	2019-11-27	40
MM - Hawaii	Honolulu Reporter	2583	128459	2019-11-27	45
MM - Kentucky	Hopkinsville Times	2433	128098	2019-11-27	55
MM - Arkansas	Hot Springs Times	2562	127999	2019-11-27	80
MM - Louisiana	Houma-Thibodaux News	2591	128115	2019-11-27	50
MM - Connecticut	Housatonic Valley News	2574	127831	2019-11-27	45
MM - Texas	Houston Republic	2255	128269	2019-11-11	15
MM - Maryland	Howard County News	1687	128131	2019-11-27	45
MM - New Jersey	Hudson Today	2504	127875	2019-11-21	25
MM - West Virginia	Huntington Times	2645	128338	2019-11-01	5
MM - Alabama	Huntsville Leader	2549	127981	2019-11-27	85
MM - Kansas	Hutch Today	2410	127633	2019-11-27	45
MM - North Carolina	IBX News	2155	128163	2019-11-27	35
Metro Business Network	Idaho Business Daily	1641	128472	2019-11-27	40
Metro Business Network	Illinois Business Daily	1148	127584	2019-11-27	60
MM - California	Imperial CA News	2720	128382	2019-11-27	55
Metro Business Network	Indiana Business Daily	1642	127609	2019-11-27	55
MM - Indiana	Indy Standard	2493	127592	2019-11-27	55
MM - Alaska	Interior Alaska News	2395	128345	2019-11-27	65
Metro Business Network	Iowa Business Daily	1405	127630	2019-11-27	50
MM - Iowa	Iowa City Today	2059	127616	2019-11-27	50
MM - Kentucky	Jackson Purchase News	2436	128099	2019-11-27	55
MM - Missouri	Jefferson City News	2126	127712	2019-11-26	30
MM - Missouri	Jefferson County Times	2125	127713	2019-11-26	30
MM - Alabama	Jefferson Reporter	2543	127982	2019-11-27	85
MM - Kansas	Joco Today	2412	127634	2019-11-27	45
MM - Tennessee	Johnson City Times	2527	128229	2019-11-16	20
MM - North Carolina	Johnston Reporter	2156	128164	2019-11-27	35
MM - Arkansas	Jonesboro Times	2563	128000	2019-11-27	80
MM - Michigan	Kalamazoo Times	1899	127659	2019-11-27	40
Metro Business Network	Kansas Business Daily	1643	127648	2019-11-27	45
MM - Hawaii	Kauai Sun	2585	128460	2019-11-27	45
MM - Missouri	KC Reporter	2131	127714	2019-11-26	30
MM - Wisconsin	Kenosha Reporter	1875	127811	2019-11-01	5
MM - Rhode Island	Kent County Times	2447	127966	2019-11-06	10
MM - Delaware	Kent County Today	1958	128009	2019-11-27	75
MM - Indiana	Kentuckiana Times	2481	127593	2019-11-27	55
Metro Business Network	Kentucky Business Daily	1644	128111	2019-11-27	55
MM - California	Kern County Times	2721	128383	2019-11-27	55
MM - Florida	Key West Reporter	2026	128024	2019-11-27	65
Metro Business Network	Keystone Business News	655	127965	2019-11-11	15
MM - California	Kings County Times	2723	128384	2019-11-27	55
MM - Tennessee	Kingsport Reporter	2532	128230	2019-11-16	20
MM - Washington	Kitsap Review	1974	128525	2019-11-06	10
MM - Tennessee	Knox Times	2520	128231	2019-11-16	20
MM - Indiana	Kokomo Standard	2482	127594	2019-11-27	55
MM - California	LA Harbor News	2700	128385	2019-11-27	55
MM - Louisiana	Lafayette Reporter	2594	128116	2019-11-27	50
MM - Indiana	Lafayette Times	2483	127595	2019-11-27	55
MM - Ohio	Lake County Times	2215	127763	2019-11-11	15
MM - New Hampshire	Lake Region News	2347	127866	2019-11-26	30
MM - California	Lake Tahoe Sun	2739	128386	2019-11-27	55
MM - Oregon	Lane County News	2668	128504	2019-11-16	20
MM - Michigan	Lansing Sun	1926	127660	2019-11-27	40
MM - Texas	Laredo Times	2288	128270	2019-11-11	15
MM - Colorado	Larimer News	2463	128448	2019-11-27	50
MM - Nevada	Las Vegas Record	2301	128482	2019-11-26	30
MM - Pennsylvania	Laurel Highlands Today	2087	127932	2019-11-11	15
MM - Kansas	Lawrence Reporter	2403	127635	2019-11-27	45
MM - Pennsylvania	Lawrence Times	2085	127933	2019-11-11	15
MM - California	LAX Leader	2704	128387	2019-11-27	55
MM - Pennsylvania	Lebanon PA News	2035	127934	2019-11-11	15
MM - Florida	Lee Today	1965	128025	2019-11-27	65
MM - Pennsylvania	Lehigh Times	2075	127935	2019-11-11	15
MM - Maine	Lewiston Times	2384	127842	2019-11-27	40
MM - Ohio	Licking Today	2228	127764	2019-11-11	15
MM - Ohio	Lima Reporter	2201	127765	2019-11-11	15
MM - Connecticut	Litchfield Hills Today	2573	127832	2019-11-27	45
MM - Kansas	Little Apple Times	2405	127636	2019-11-27	45
MM - Michigan	Livingston Today	1905	127661	2019-11-27	40
MM - Texas	Longview Times	2287	128271	2019-11-11	15
MM - Ohio	Lorain Times	2212	127766	2019-11-11	15
Metro Business Network	Louisiana Business Daily	1645	128127	2019-11-27	50
MM - Kentucky	Louisville City Wire	2435	128100	2019-11-27	55
MM - Arkansas	Lowe Delta News	2570	128001	2019-11-27	80
MM - Pennsylvania	Lower Bucks Today	2006	127936	2019-11-11	15
MM - South Carolina	Lower West SC News	2798	128218	2019-11-21	25
MM - Texas	Lubbock Times	2286	128272	2019-11-11	15
MM - Pennsylvania	Luzerne Times	2074	127937	2019-11-11	15
MM - Pennsylvania	Lycoming News	2073	127938	2019-11-11	15
MM - Virginia	Lynchburg Reporter	2363	128315	2019-11-06	10
MM - Michigan	Macomb Today	1919	127662	2019-11-27	40
